source_id,period_days,transit_depth_ppm,planet_radius_re,stellar_radius_rs,snr,epoch,label_raw,mission,label_coarse,label_binary
K05941.01,44.7060191,292.0,60.47,0.811,6.6,154.40282,CANDIDATE,KEPLER,CANDIDATE,0
K05942.01,125.277815,432.3,15.75,7.738,11.0,170.8865,CANDIDATE,KEPLER,CANDIDATE,0
K05943.01,27.2020672,180.3,1.87,1.396,8.7,151.86606,CANDIDATE,KEPLER,CANDIDATE,0
K05944.01,64.713168094,312970.0,62.03,0.974,3582.5,171.3677102,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05945.01,40.7282314,221.8,4.58,2.231,19.4,162.1513,CANDIDATE,KEPLER,CANDIDATE,0
K05946.01,183.38048452,,,,,298.0782368,CANDIDATE,KEPLER,CANDIDATE,0
K05947.01,1.036592136,2118.2,179.36239999999793,8.747,150.6,132.089545,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05948.01,398.51312,249.2,1.23,0.759,5.9,165.2177,CANDIDATE,KEPLER,CANDIDATE,0
K05949.01,551.134255,274.8,1.88,1.111,7.3,433.1966,CANDIDATE,KEPLER,CANDIDATE,0
K05950.01,109.43946,187.1,1.0,0.741,7.3,223.4128,CANDIDATE,KEPLER,CANDIDATE,0
K05951.01,194.25835342,,,,,288.4461343,CANDIDATE,KEPLER,CANDIDATE,0
K05952.01,164.507439,433.8,2.15,1.02,11.7,212.7605,CANDIDATE,KEPLER,CANDIDATE,0
K05953.01,370.84786,1440.0,4.03,0.886,15.2,260.7921,CANDIDATE,KEPLER,CANDIDATE,0
K05954.01,73.908995,100.5,0.94,0.918,7.0,159.8067,CANDIDATE,KEPLER,CANDIDATE,0
K05955.01,96.32561456,,,,,153.0316267,CANDIDATE,KEPLER,CANDIDATE,0
K05956.01,212.646179,953.0,3.19,1.03,5.4,221.6137,CANDIDATE,KEPLER,CANDIDATE,0
K05957.01,371.54879,125.6,1.13,0.954,10.1,183.5693,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05958.01,226.499243,127.4,0.89,0.798,5.0,131.6622,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05959.01,251.48808,305.0,1.74,0.902,6.4,192.461,CANDIDATE,KEPLER,CANDIDATE,0
K05960.01,32.4185265,110.7,1.62,1.441,7.9,161.4252,CANDIDATE,KEPLER,CANDIDATE,0
K05961.01,19.159760875,32491.0,25.24,0.516,900.3,141.5680129,CANDIDATE,KEPLER,CANDIDATE,0
K05962.01,2.61594288,72.1,0.92,1.012,13.4,132.415,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05963.01,1.686009643,390.4,1.81,0.88,48.5,133.060575,FALSE POSITIVE,KEPLER,FALSE POSITIVE,0
K05964.01,32.033211,71.3,0.85,1.005,9.2,146.8143,CANDIDATE,KEPLER,CANDIDATE,0
K05965.01,43.3975622,585.3,1.69,0.725,8.6,153.934,CANDIDATE,KEPLER,CANDIDATE,0
