z_period_days,z_transit_depth_ppm,z_planet_radius_re,z_stellar_radius_rs,z_snr,label_binary,label_coarse,mission
-0.28304217057800996,0.007171935274534799,-0.07941240752541985,-0.3804587675823071,1.2624916514867888,0,FALSE POSITIVE,KEPLER
-0.3653012037475061,-0.26322116647467925,-0.42775639280887345,-0.5231257343143418,-0.0992524138267773,1,CONFIRMED,KEPLER
-0.3153128042265221,-0.27151830495916446,0.24267843151057433,-0.5231257343143418,-0.24039878873178933,0,CANDIDATE,KEPLER
-0.35410220821329436,-0.2820497500220417,-0.4963280434552226,-0.23420269476896344,-0.2506714506608295,0,CANDIDATE,KEPLER
-0.27088743433828594,-0.22655013469163512,-0.4156094146943773,-0.7851304782499025,-0.12267408302498892,1,CONFIRMED,KEPLER
-0.32209600497073776,-0.22677416543181408,-0.31138050571192666,-0.3221357937610351,0.18571122808479718,1,CONFIRMED,KEPLER
-0.3149623034863693,-0.22261959536617384,-0.32901321587813065,-0.4316035292409611,0.37267367519332845,1,CONFIRMED,KEPLER
-0.1926579115363215,-0.25824848415249263,-0.44382175096030385,-0.7070674209814305,-0.19232273090388133,1,CONFIRMED,KEPLER
-0.2865161688946632,-0.26157894113818886,-0.4446054269676907,-0.7070674209814305,-0.20629355112737596,1,CONFIRMED,KEPLER
-0.26277890856180774,-0.2643133163330517,-0.4152175766906839,-0.5365848821192508,-0.19499362300543177,1,CONFIRMED,KEPLER
0.05786257140741624,-0.2703421435732249,-0.40698897861312205,-0.30149843379350805,-0.09658152172522687,1,CONFIRMED,KEPLER
-0.3550605703713679,-0.2681398413862871,0.3249644122861933,-0.48185101437928773,-0.18841911937084604,0,FALSE POSITIVE,KEPLER
-0.3725478940365851,-0.25023138409323115,0.7512841603046383,-0.33649221808627133,-0.055696327247646976,0,FALSE POSITIVE,KEPLER
-0.36148759651713214,-0.26589553343556566,-0.3971930285207865,-0.24407273649256325,-0.13602854353274116,1,CONFIRMED,KEPLER
-0.3156046232763623,-0.2636372235635831,-0.38935626844691795,-0.24407273649256325,-0.16273746454824561,1,CONFIRMED,KEPLER
-0.24456803910369107,-0.27344856981874216,-0.4457809409787709,-0.4217334875173612,-0.24553511969630942,0,FALSE POSITIVE,KEPLER
-0.30275543047610143,-0.26017474846313854,-0.41796044271653787,-0.5024883743468148,-0.17075014085289694,1,CONFIRMED,KEPLER
0.22684013350888027,-0.2640192759865668,-0.42697271680148663,-0.5024883743468148,-0.22724978146261793,1,CONFIRMED,KEPLER
-0.26055293824702225,-0.1605190742983514,-0.2294863629400011,-0.38494515018394343,0.30097049492862793,1,CONFIRMED,KEPLER
-0.37451410630731374,-0.24311640781808316,1.3057349355308325,-0.008089011646493376,-0.03720553577537466,0,FALSE POSITIVE,KEPLER
-0.2839319399383133,-0.26521143956823345,0.6008183668863636,-0.25842916081779943,-0.19006274527949246,0,FALSE POSITIVE,KEPLER
-0.3632444098414154,-0.2750047833531996,-0.4387278569122893,-0.2566346077771449,-0.18862457260942683,1,CONFIRMED,KEPLER
-0.3201081364235731,-0.25656425305221864,-0.4109073586500563,-0.6002915150624863,-0.16417563721831124,1,CONFIRMED,KEPLER
-0.38407307243910904,-0.0632777314138858,0.5584998624874739,-0.6388744054365587,0.34719747360930875,0,FALSE POSITIVE,KEPLER
-0.2853300731797981,-0.16781007472649714,-0.21655570881811811,-0.45941910137110625,0.10866626361699586,0,CANDIDATE,KEPLER
-0.18461584018530394,-0.2527497296457786,-0.4426462369492236,-0.7671849478433571,-0.19622634243691658,1,CONFIRMED,KEPLER
0.0817169189585244,-0.2547500041116622,-0.4477401309972381,-0.7671849478433571,-0.2151280403863505,1,CONFIRMED,KEPLER
-0.14465424325273915,-0.2805675466428219,-0.46811570718929607,-0.30149843379350805,-0.23341337862004202,1,CONFIRMED,KEPLER
-0.3093552445509181,-0.27223040266901904,-0.47242592522992377,-0.7671849478433571,-0.23587881748301165,1,CONFIRMED,KEPLER
-0.34941229851432454,-0.11172837952651851,-0.23183739096216166,-0.5150502456313965,0.4932747262402601,1,CONFIRMED,KEPLER
-0.16110511934953173,-0.26290912365800145,-0.4285400688162603,-0.550941306444487,-0.2025953928329215,1,CONFIRMED,KEPLER
-0.3725591906252185,-0.1232459599010763,-0.13818810807943338,-0.21715444088274535,1.3744636665133267,1,CONFIRMED,KEPLER
-0.189101811210713,0.1519117956258725,0.013453199349921523,-0.3975070214685251,0.4310223949502766,0,CANDIDATE,KEPLER
-0.3122198651767194,-0.27619494666040034,0.16509450677927642,-0.47018641961503344,-0.23937152253888533,0,FALSE POSITIVE,KEPLER
-0.29707754739209885,-0.26224903308425984,-0.4187441187239247,-0.47377552569634246,-0.1578065868223063,1,CONFIRMED,KEPLER
-0.28383699684801184,0.05575860205084759,0.0009143832317319554,-0.2907311155495809,1.0397803408651973,0,FALSE POSITIVE,KEPLER
1.0708579973703678,-0.07129883202207905,-0.17071066238598756,-0.4316035292409611,0.016623212732795906,1,CONFIRMED,KEPLER
-0.32628044277581536,-0.28153167893537784,-0.48849128338135406,-0.30149843379350805,-0.2389606160617237,1,CONFIRMED,KEPLER
0.22588185639756214,0.12300782959385441,-0.041795959170851216,-0.4316035292409611,0.44478776193519043,1,CONFIRMED,KEPLER
-0.09184638529831839,-0.27288649269382886,-0.4446054269676907,-0.4316035292409611,-0.24471330674198624,1,CONFIRMED,KEPLER
-0.37342703986228276,-0.2663235921712647,0.48718534581527073,-0.3885342562652525,-0.18883002584800765,0,FALSE POSITIVE,KEPLER
-0.3586457345743547,-0.27086221493435464,-0.4528340250452526,-0.5536331360054688,-0.1689010617056697,0,FALSE POSITIVE,KEPLER
